dailyReturnNoReinv,exchangeCD,ListSector,totalShares,nonrestFloatShares,nonrestfloatA,TShEquity,AccountsPayablesTDays,AccountsPayablesTRate,AdminiExpenseRate,ARTDays,ARTRate,ASSI,BLEV,BondsPayableToAsset,CashRateOfSales,CashToCurrentLiability,CMRA,CTOP,CTP5,CurrentAssetsRatio
0.0,0,2,213120000.0,213120000.0,213120000.0,918725146.71,64.3765,5.5921,0.1078,116.3843,3.0932,20.7592,1.0035,0.0,0.1245,1.5447,0.5666,0.0118,0.0128,0.5448
1.0,0,2,472133300.0,293057500.0,293057500.0,2522184783.39,157.3083,2.2885,0.11599999999999999,147.5773,2.4394,21.9503,1.0172,0.0,0.1747,0.4909,0.4311,0.0048,0.0046,0.6063
0.0,0,0,1034402200.0,958511000.0,958511000.0,4160134340.37,173.9719,2.0693,0.0696,124.9479,2.8812,23.0221,1.0329,0.0,0.008,0.2834,0.3181,0.0023,0.0013,0.7775
0.0,1,1,592881100.0,574963200.0,574963200.0,3879501102.78,106.3201,3.386,0.1108,217.4701,1.6554,22.38,1.0268,0.0,0.1672,0.2396,0.4141,0.0048,0.0039,0.4969
0.0,1,1,1148334900.0,1148334900.0,1148334900.0,1504792710.36,70.2165,5.127000000000001,0.0579,-131.291,-2.742,23.6001,1.8103,0.0,0.0595,0.0639,0.34600000000000003,0.0017,0.0067,0.7569
1.0,0,2,212144700.0,153034800.0,153034800.0,1466826555.64,192.2255,1.8728,0.0824,76.4753,4.7074,22.0447,1.1059,0.0259,-0.0803,0.0304,0.5764,0.0055,0.0001,0.6768
0.0,1,1,1954720300.0,1954720300.0,1954720300.0,4173551388.39,21.5783,16.6834,0.0918,64.3696,5.5927,22.776,1.0951,0.0393,0.1119,1.012,0.7108,0.0,0.0035,0.5770000000000001
0.0,0,0,928160400.0,172278000.0,172278000.0,2033494957.63,148.0933,2.4309,0.14400000000000002,360.036,0.9999,20.5409,1.0069,0.0,-0.034,0.4577,0.9478,0.0022,0.0007,0.836
0.0,0,2,101965100.0,49239000.0,49239000.0,3545521217.59,63.1391,5.7017,0.1049,119.1303,3.0219,21.1891,1.0,0.0,0.9388,0.1241,0.7173,0.0011,0.0015,0.1447
0.0,1,1,624761500.0,624761500.0,624761500.0,3045763358.46,66.6001,5.4054,0.0466,-169.1094,-2.1288,23.0659,1.9885,0.0,0.3954,0.5468,0.542,0.0175,0.0084,0.8367
0.0,0,2,500176600.0,354986900.0,354986900.0,3115569268.95,-8.0675,-44.6233,0.1717,78.1013,4.6094,22.093000000000004,1.0176,0.0,0.1727,0.8478,0.892,0.0045,0.005,0.3986
1.0,0,1,715900300.0,620480600.0,620480600.0,5065353234.43,-470.5267,-0.7651,0.1367,52.6223,6.8412,22.4307,1.0246,0.0,-0.1281,1.4073,0.7467,0.0041,0.0023,0.6373
0.0,0,1,400080400.0,400080400.0,400080400.0,2221703852.26,114.0793,3.1557,0.1171,46.1207,7.8056,22.158,1.1113,0.0,0.0986,0.447,0.53,0.0177,0.0039,0.6317
0.0,0,0,960000000.0,881085000.0,881085000.0,2424552451.87,62.5826,5.7524,0.0515,219.4052,1.6408,22.1148,1.1517,0.0,-0.01,0.281,0.7373,0.0,0.0011,0.5656
1.0,0,2,1250141500.0,859624000.0,859624000.0,4883273738.03,-224.0757,-1.6066,0.1676,209.9738,1.7145,22.8115,1.2188,0.0,-0.0303,0.2542,0.5729,0.0047,0.001,0.5361
0.0,1,1,3751168300.0,3751168300.0,3751168300.0,45226957569.9,60.4098,5.9593,0.0339,-68.8152,-5.2314,25.2821,1.9216,0.0864,0.2214,0.3093,0.19899999999999998,0.0143,0.0102,0.6375
1.0,0,2,1274850500.0,1029616900.0,1029616900.0,1592715501.14,37.0905,9.706,0.1007,66.2422,5.4346,21.9876,1.0039,0.0,0.1264,0.625,1.0104,0.0144,0.0035,0.3641
1.0,1,1,381512800.0,381512800.0,381512800.0,461276718.43,128.8383,2.7942,0.1297,263.1002,1.3683,21.5883,1.7107,0.0,-0.0458,0.23199999999999998,0.6029,0.0,0.0,0.6291
0.0,1,1,597718700.0,592018700.0,592018700.0,2153865645.75,78.9474,4.56,0.0964,170.9158,2.1063,21.8646,1.095,0.0,0.1116,-0.3232,1.0793,0.031,0.0096,0.3939
0.0,1,1,1625791000.0,1291079300.0,1071179300.0,24720008207.7,64.9902,5.5393,0.0753,29.6655,12.1353,24.0849,1.0399,0.0,0.10099999999999999,1.4616,0.603,0.0102,0.0059,0.7611
1.0,0,0,853775000.0,853022000.0,853022000.0,942166522.72,108.8765,3.3065,0.0884,40.9729,8.7863,21.473000000000003,1.2425,0.0,0.0822,0.154,0.5801,0.0,0.0,0.32899999999999996
0.0,1,1,3066072500.0,3066072500.0,3066072500.0,20418216668.3,58.0673,6.1997,0.0522,79.7978,4.5114,24.0594,1.0856,0.0,0.0662,0.7761,0.4318,0.0117,0.005,0.6833
0.0,0,2,445987600.0,304377900.0,304377900.0,997848030.46,164.0913,2.1939,0.0903,215.3754,1.6715,21.6225,1.2493,0.0,-0.0525,0.171,0.9348,0.0039,0.0005,0.7240000000000001
0.0,1,1,394857800.0,319560000.0,319560000.0,2457249598.27,124.8396,2.8837,0.0677,91.6054,3.9299,22.5343,1.082,0.0,0.0462,0.1294,0.3499,0.0025,0.0036,0.5471
1.0,1,1,508837200.0,508837200.0,508837200.0,149836537.46,125.0564,2.8787,1.1853,-8.8683,-40.5938,19.5545,1.5873,0.0,-3.2989,1.2752,1.3544,0.0,0.0,0.1995
0.0,0,2,477897700.0,334978200.0,334978200.0,2178027721.17,156.0198,2.3074,0.2106,120.603,2.985,22.0684,1.3092,0.1038,0.0659,1.6969,0.4758,0.0064,0.0033,0.5511
0.0,0,0,342422600.0,342422600.0,342422600.0,2817660523.27,62.6457,5.7466,0.0124,4.7937,75.0978,22.1639,1.0224,0.0,0.0407,1.0931,0.3867,0.0369,0.0244,0.5199
0.0,0,2,1452607800.0,1188689700.0,1188689700.0,10497967507.1,47.246,7.6197,0.0761,-47.8227,-7.5278,22.9318,1.0021,0.0,0.6029,1.5726,0.2752,0.0054,0.0044,0.2979
0.0,0,1,895233100.0,895203100.0,895203100.0,5735024887.38,129.9921,2.7694,0.1033,118.4016,3.0405,22.5337,1.0342,0.0,0.1456,0.0376,0.5638,0.0047,0.0031,0.406
0.0,1,1,179509700.0,177908700.0,177908700.0,1055148936.3,132.3383,2.7203,0.1106,132.714,2.7126,21.3661,1.3253,0.0,0.1169,0.2113,0.3292,0.0,0.0,0.3915
0.0,0,0,1315082500.0,1000758800.0,800573000.0,8207121294.24,28.4948,12.6339,0.0504,58.7209,6.1307,22.838,1.3338,0.0819,0.0825,1.0598,1.2265,0.006999999999999999,0.0046,0.5629
0.0,0,1,1362725400.0,1361624900.0,902035100.0,8323556117.28,132.7532,2.7118,0.0305,64.8111,5.5546,23.8274,1.0616,0.0,0.0018,0.0663,0.8394,0.0415,0.0084,0.6973
0.0,1,1,770000000.0,770000000.0,770000000.0,3085514259.83,52.3644,6.8749,0.1669,92.0834,3.9095,22.2046,1.0394,0.0,0.0874,0.134,0.4231,0.0139,0.0094,0.4212
0.0,1,1,400000000.0,400000000.0,400000000.0,770429896.36,-3.1701,-113.5623,0.0289,23.9179,15.0515,20.6779,1.0072,0.0,-0.5517,0.2222,0.638,0.0,0.0,0.6688
0.0,0,2,1135835700.0,684001400.0,684001400.0,5214311095.58,69.8554,5.1535,0.1113,51.2923,7.0186,22.6666,1.176,0.0,0.063,0.1897,0.4989,0.0026,0.0023,0.2707
1.0,1,1,626601000.0,626601000.0,626601000.0,2354119106.64,16.4375,21.9012,0.0902,120.3973,2.9901,21.8207,1.068,0.0,0.0705,0.3921,0.5215,0.0124,0.0106,0.3729
0.0,0,1,520819200.0,520795500.0,520795500.0,2395375129.31,-30.2982,-11.8819,0.1414,81.1542,4.436,21.8248,1.024,0.0,0.0249,3.7104,0.7013,0.0,0.0002,0.6235
0.0,0,1,5289389600.0,2966526100.0,2966526100.0,37160234624.1,153.6361,2.3432,0.0157,33.9591,10.600999999999999,25.636,2.3685,0.0515,0.17,0.1111,0.7187,0.0,0.0005,0.1611
0.0,0,0,4526940600.0,3972934100.0,3972934100.0,8832823361.77,70.6104,5.0984,0.0308,110.9844,3.2437,23.5908,1.2947,0.0,-0.0612,1.0303,0.3636,0.0,0.0026,0.7909
0.0,0,0,779764700.0,500736500.0,500736500.0,2163972246.48,100.19200000000001,3.5931,0.0394,65.76899999999999,5.4737,21.9206,1.041,0.0,0.0784,1.1808,0.4496,0.0126,0.0123,0.6355
0.0,0,0,416565000.0,259044800.0,259044800.0,3728869373.34,107.9234,3.3357,0.0863,31.0637,11.5891,22.3562,1.3201,0.0,0.3736,3.0377,0.5543,0.0074,0.0073,0.2626
0.0,0,2,174092800.0,110553600.0,110553600.0,424367918.29,40.7221,8.8404,0.2957,-24.4005,-14.7538,20.1867,1.0222,0.0,0.3461,0.7333,1.1669,0.0,0.0005,0.488
0.0,1,1,2083012700.0,2083012700.0,2083012700.0,23620565821.2,39.2833,9.1642,0.0462,29.3988,12.2454,24.7716,1.8954,0.09699999999999999,0.0247,0.423,0.5193,0.0147,0.0088,0.6504
0.0,1,1,747300000.0,747300000.0,513300000.0,4297888759.57,23.3525,15.4159,0.1769,-18.7186,-19.2322,22.2691,1.0372,0.0,0.3065,0.2219,0.3808,0.0209,0.006,0.4242
0.0,0,0,2024379900.0,2024379900.0,2024379900.0,9179766627.37,58.7439,6.1283,0.3211,77.737,4.631,23.2934,1.0668,0.0,0.2039,2.7017,0.9994,0.0084,0.0018,0.7931
0.0,0,0,239991600.0,143353600.0,143353600.0,2097088629.23,187.4219,1.9208,0.179,270.2703,1.3319999999999999,21.5939,1.0089,0.0,0.2248,0.5714,0.8056,0.0119,0.0043,0.7972
0.0,1,1,252372400.0,248438100.0,248438100.0,2838691834.86,38.1777,9.4296,0.0871,50.1763,7.1747,22.605,2.2659,0.0,0.1702,0.4245,0.6489,0.0081,0.0048,0.3321
0.0,0,0,1005223100.0,1005223100.0,1005223100.0,3679167999.37,-15.8213,-22.7541,0.077,16.7324,21.5152,22.5174,1.3671,0.1557,0.1074,1.4454,0.3856,0.0158,0.0083,0.6153
0.0,0,2,858000000.0,817730600.0,817730600.0,3482787362.73,268.9779,1.3384,0.132,140.68,2.559,22.5721,1.2451,0.0,0.0712,0.1191,0.3927,0.0063,0.0068,0.4566
1.0,0,2,323146400.0,227114900.0,227114900.0,1268429258.21,26.4809,13.5947,0.0691,118.0676,3.0491,20.9911,1.001,0.0,0.1552,1.7894,0.5528,0.0353,0.0164,0.8504
1.0,0,0,855435300.0,733568600.0,733568600.0,1741360676.0,135.374,2.6593,0.0707,105.1126,3.4249,21.5299,1.0003,0.0,0.0444,0.429,0.5338,0.0031,0.0039,0.6901
0.0,0,0,553559400.0,414071500.0,414071500.0,2504984076.97,198.555,1.8131,0.1209,100.2869,3.5897,22.1311,1.2396,0.0,-0.0494,0.4577,0.5852,0.0063,0.005,0.4091
0.0,1,1,1516736200.0,1516736200.0,1516736200.0,4765039438.46,48.4966,7.4232,0.0803,62.6883,5.7427,23.0458,1.0932,0.0,0.1188,0.1478,0.4814,0.0448,0.0172,0.4873
0.0,0,1,1409869300.0,1409866400.0,1409866400.0,2452207765.84,2.9302,122.8606,0.0339,9.5752,37.5973,22.2197,1.0403,0.0,-0.0051,0.1349,0.4292,0.0,0.0,0.5428
0.0,1,1,364567500.0,364567500.0,364567500.0,1328056625.51,67.1229,5.3633,0.0838,13.3266,27.0136,21.6344,1.5292,0.0,0.2369,0.1697,0.6384,0.0076,0.0032,0.1308
1.0,1,1,949289000.0,949289000.0,949289000.0,18546256795.1,69.1829,5.2036,0.0966,58.8928,6.1128,24.3298,1.7568,0.0271,0.0538,0.5364,0.3535,0.0039,0.0036,0.4534
1.0,1,1,1893312100.0,1893312100.0,1893312100.0,13804844266.8,157.116,2.2913,0.0611,37.5983,9.5749,24.67,1.4182,0.0,-0.1377,0.2037,0.639,0.0108,0.0121,0.5555
1.0,1,1,1783340300.0,1783340300.0,1783340300.0,2435315768.35,39.8367,9.0369,0.0887,67.0092,5.3724,22.2912,0.9997,0.0,0.1419,0.3965,0.5838,0.0,0.0,0.4674
0.0,0,2,880200900.0,711552100.0,711552100.0,3599578653.37,258.6393,1.3919,0.0949,76.7918,4.688,22.8049,1.4741,0.0,0.0038,0.035,0.7586,0.0047,0.0033,0.2632
0.0,1,1,340000000.0,170000000.0,170000000.0,1654712730.98,27.6755,13.0079,0.0444,116.603,3.0874,21.897,1.3592,0.0,-0.0348,0.0937,0.6495,0.0043,0.0214,0.6753
1.0,1,1,989959900.0,989959900.0,989959900.0,769070815.26,84.1475,4.2782,0.0415,96.1641,3.7436,22.6401,3.6983,0.1802,-0.0007,0.2008,0.7961,0.0,0.0204,0.4093
0.0,0,1,1868545500.0,1868415700.0,1868415700.0,8890378881.03,321.3999,1.1201,0.0379,-107.4916,-3.3491,24.0381,2.0365,0.0,-0.2245,0.2391,0.3229,0.0257,0.0132,0.857
0.0,0,2,2574960800.0,1796527300.0,1796527300.0,9968007872.74,-167.8791,-2.1444,0.0506,154.3541,2.3323,23.4366,1.1476,0.0397,0.1129,0.2392,0.4278,0.0057,0.0038,0.4354
0.0,0,2,249503000.0,118508100.0,118508100.0,833027044.42,90.3252,3.9856,0.1101,146.2463,2.4616,21.0949,1.0602,0.0,0.0605,0.2785,0.6907,0.0189,0.0055,0.7703
0.0,0,2,358340800.0,246488700.0,246488700.0,2127336755.36,146.6634,2.4546,0.1164,264.8227,1.3594,21.7983,1.1727,0.0,0.267,0.5635,0.7016,0.0055,0.0032,0.4802
0.0,0,0,350113200.0,327238300.0,327238300.0,2486633083.25,62.144,5.792999999999999,0.0444,114.76299999999999,3.1369,22.0717,1.0259,0.0,-0.0514,0.3986,0.8629,0.0051,0.0055,0.7544
