ticker,lastChgPct,tradeDate,marketValue,negMarketValue,PE,PB,FY12P,PCF,NetAssetGrowRate,VSTD10,MACD,RSI,ROE,plusDI,minusDI,ADX,ASI,Hurst,avgTurnoverRate,label
000006,-0.00705053,2017-09-01,11366958742.0,11326324664.0,12.274,2.2681,0.0971,8.0533,0.1605,7551890.1672,0.0478,62.0529,0.1971,38.8228,7.9473,38.5185,3.9201,0.558,0.045,0.16568047
000006,-0.03405221,2017-08-01,11650457713.0,11606348057.0,13.9756,2.2804,0.0947,9.576,0.1537,4062994.7336,0.0336,56.5445,0.184,19.2274,18.5584,14.7373,2.2789,0.6555,0.0086,-0.00705053
000006,0.14401077,2016-09-01,11042959918.0,11003338452.0,42.3499,2.5492,0.0498,7.7583,0.0262,10848597.2519,-0.1296,34.1373,0.0602,23.2641,18.0188,29.8692,-2.4456,0.6349,0.0378,0.13647059
000006,0.00814111,2016-08-01,9746964622.0,9676721242.0,36.929,2.1948,0.0564,10.1514,0.0268,4714988.524,-0.0936,29.0661,0.0613,12.9338,34.7781,29.4205,-10.3487,0.6644,0.0371,0.14401077
000006,-0.00135501,2016-07-01,9895464083.0,9824150513.0,37.4916,2.2282,0.0555,10.3061,0.0268,6280178.9048,0.0826,63.5667,0.0613,18.9543,12.8185,24.332,1.5244,0.5276,0.0128,0.00814111
000006,-0.06935687,2016-06-01,9976463789.0,9904566479.0,37.7985,2.2465,0.0551,10.3904,0.0268,5783631.089,0.0804,51.8812,0.0613,25.8692,16.8417,25.5634,1.0969,0.5905,0.0117,-0.00135501
000006,-0.04457831,2016-05-03,10907960408.0,10829350088.0,41.3277,2.4562,0.0504,11.3606,0.0268,15851725.283,-0.0784,39.7163,0.0613,13.9387,20.56,17.0581,-4.0794,0.6446,0.0081,-0.06935687
000006,0.1292517,2016-04-01,11123959624.0,11043792664.0,26.692,2.5049,0.0494,-36.6326,0.0666,14042256.9096,0.0014,59.0889,0.0983,15.8882,19.6174,13.8915,-5.5475,0.6544,0.0178,-0.04457831
000006,-0.35273675,2016-02-01,9625465063.0,9556097293.0,17.6532,2.1911,0.1067,-9.1831,0.0833,6630146.4861,-0.133,26.8219,0.1312,7.73,34.1079,70.2395,-29.1611,0.6654,0.0213,-0.01342282
000006,0.03693694,2016-01-04,14012949138.0,13911962118.0,25.6999,3.1898,0.0733,-13.369,0.0833,21320991.4132,-0.1944,39.7843,0.1312,13.9537,43.8547,20.7648,-48.3458,0.5265,0.0148,-0.35273675
000008,-0.11188811,2019-06-03,10539214187.0,9803279946.0,32.3024,1.4388,0.0405,-32.5672,0.0294,4176064.0922,0.0398,32.8358,0.0457,20.5112,25.0747,38.619,1.6813,0.688,0.0056,-0.01049869
000008,-0.07142857,2019-05-06,11067565294.0,10294737252.0,33.9217,1.5109,0.0386,-34.1998,0.0294,8635986.7638,-0.1824,19.0083,0.0457,7.7884,52.7049,37.612,-16.8253,0.7093,0.0077,-0.11188811
000008,-0.01070664,2019-04-01,13125353816.0,12208834128.0,14.9933,1.8478,0.0325,-20.1142,0.1365,27712604.904,-0.0362,69.697,0.1273,29.1578,14.4701,20.9996,1.3404,0.5856,0.0254,-0.07142857
000008,0.28296703,2019-03-01,12986314518.0,11945542440.0,14.8344,1.8283,0.0329,-19.9011,0.1365,39615937.1374,0.178,87.8788,0.1273,53.7639,13.0219,48.4355,15.937,0.6811,0.0289,-0.01070664
000008,-0.14739229,2018-12-03,11188769306.0,10096465888.0,12.7811,1.5752,0.0641,-17.1464,0.1365,14287624.1024,-0.0676,38.5965,0.1273,22.4775,30.5475,47.3391,-8.1784,0.7113,0.0076,0.03457447
000008,0.00227273,2018-11-01,12259734630.0,11062878240.0,14.0045,1.726,0.0585,-18.7876,0.1365,14594451.3201,0.127,83.4711,0.1273,29.0259,14.929,25.6106,7.0211,0.1852,0.0167,-0.14739229
000008,-0.21370968,2018-09-03,11893351756.0,10718280518.0,13.5239,1.6898,0.0603,-16.9906,0.1431,17726830.7166,0.228,86.1111,0.1321,34.0392,13.1425,41.8876,8.5198,0.9989,0.0151,0.12820513
000008,-0.08695652,2018-03-01,21193840096.0,19846018464.0,49.6467,3.3945,0.0397,-84.7848,0.0782,4365692.648,-0.0082,46.2256,0.0705,14.6211,30.8773,35.0798,-8.4836,0.5879,0.0047,-0.0952381
000008,-0.05371429,2018-02-01,23053937764.0,16450330104.0,54.004,3.6925,0.037,-92.226,0.0782,1829446.5834,-0.025,27.1889,0.0705,7.0267,23.7639,42.5898,-2.1544,0.5365,0.0033,-0.08695652
000008,0.03183962,2018-01-02,24716752346.0,17636845356.0,57.8992,3.9588,0.0346,-98.878,0.0782,2750775.1708,0.107,81.0368,0.0705,23.0615,10.8309,28.1475,7.8739,0.6115,0.0035,-0.05371429
000008,-0.07625272,2017-12-01,24209452982.0,17082966501.0,56.7108,3.8775,0.0247,-96.8485,0.0782,2271618.1254,-0.0978,31.2253,0.0705,25.1584,25.1358,38.8472,-7.472,0.6412,0.0035,0.03183962
000008,0.0166113,2017-11-01,25815900968.0,18216527724.0,60.474,4.1348,0.0232,-103.275,0.0782,8595635.0248,-0.0334,48.5941,0.0705,28.2763,12.3643,35.7113,12.7769,0.5081,0.0036,-0.07625272
000008,0.12034739,2017-10-09,25681137372.0,18117092529.0,47.9433,4.1653,0.0233,-105.7869,0.0972,10804660.4784,-0.0146,69.0732,0.0905,37.032,14.3499,43.3446,-6.4239,0.541,0.0051,0.0166113
