,secID,ticker,exchangeCD,secShortName,tradeDate,listStatusCD,currencyCD,dailyReturnReinv,dailyReturnNoReinv,isChgPctl
0,300001.XSHE,300001,XSHE,特锐德,2015-02-27,S,CNY,,,0
1,300002.XSHE,300002,XSHE,神州泰岳,2015-02-27,L,CNY,0.044917,0.044917,0
2,300003.XSHE,300003,XSHE,乐普医疗,2015-02-27,L,CNY,0.012727,0.012727,0
3,300004.XSHE,300004,XSHE,南风股份,2015-02-27,L,CNY,0.009386,0.009386,0
4,300005.XSHE,300005,XSHE,探路者,2015-02-27,L,CNY,0.012406,0.012406,0
5,300006.XSHE,300006,XSHE,莱美药业,2015-02-27,L,CNY,0.003159,0.003159,0
6,300007.XSHE,300007,XSHE,汉威科技,2015-02-27,L,CNY,-0.005026,-0.005026,0
7,300008.XSHE,300008,XSHE,天海防务,2015-02-27,L,CNY,0.016346,0.016346,0
8,300009.XSHE,300009,XSHE,安科生物,2015-02-27,S,CNY,,,0
9,300010.XSHE,300010,XSHE,立思辰,2015-02-27,L,CNY,0.014842,0.014842,0
10,300011.XSHE,300011,XSHE,鼎汉技术,2015-02-27,L,CNY,0.074259,0.074259,0
11,300012.XSHE,300012,XSHE,华测检测,2015-02-27,L,CNY,0.040369,0.040369,0
12,300013.XSHE,300013,XSHE,新宁物流,2015-02-27,L,CNY,0.100071,0.100071,0
13,300014.XSHE,300014,XSHE,亿纬锂能,2015-02-27,L,CNY,0.003194,0.003194,0
14,300015.XSHE,300015,XSHE,爱尔眼科,2015-02-27,L,CNY,0.016158,0.016158,0
15,300016.XSHE,300016,XSHE,北陆药业,2015-02-27,L,CNY,-0.008017,-0.008017,0
16,300017.XSHE,300017,XSHE,网宿科技,2015-02-27,L,CNY,0.100027,0.100027,0
17,300018.XSHE,300018,XSHE,中元股份,2015-02-27,S,CNY,,,0
18,300019.XSHE,300019,XSHE,硅宝科技,2015-02-27,L,CNY,0.003747,0.003747,0
19,300020.XSHE,300020,XSHE,银江股份,2015-02-27,L,CNY,0.099943,0.099943,0
20,300021.XSHE,300021,XSHE,大禹节水,2015-02-27,L,CNY,-0.009961,-0.009961,0
21,300022.XSHE,300022,XSHE,吉峰科技,2015-02-27,S,CNY,,,0
22,300023.XSHE,300023,XSHE,宝德股份,2015-02-27,L,CNY,0.007575,0.007575,0
23,300024.XSHE,300024,XSHE,机器人,2015-02-27,L,CNY,0.026938,0.026938,0
24,300025.XSHE,300025,XSHE,华星创业,2015-02-27,S,CNY,,,0
25,300026.XSHE,300026,XSHE,红日药业,2015-02-27,L,CNY,0.001421,0.001421,0
26,300027.XSHE,300027,XSHE,华谊兄弟,2015-02-27,L,CNY,0.059944,0.059944,0
